date & time, temperature
2020-04-28 00:00:08.283035,23.5
2020-04-28 00:01:10.044949,23.5
2020-04-28 00:02:11.882450,23.5
2020-04-28 00:03:14.522461,23.5
2020-04-28 00:04:16.282454,23.5
2020-04-28 00:05:18.123444,23.5
2020-04-28 00:06:19.962460,23.5
2020-04-28 00:07:21.724768,23.5
2020-04-28 00:08:23.481664,23.5
2020-04-28 00:09:25.322386,23.5
2020-04-28 00:10:27.162459,23.5
2020-04-28 00:11:29.001687,23.5
2020-04-28 00:12:30.842428,23.5
2020-04-28 00:13:33.562423,23.5
2020-04-28 00:14:35.322423,23.5
2020-04-28 00:15:37.082406,23.5
2020-04-28 00:16:38.922438,23.5
2020-04-28 00:17:40.762760,23.5
2020-04-28 00:18:42.522394,23.5
2020-04-28 00:19:44.362421,23.5
2020-04-28 00:20:47.085189,23.5
2020-04-28 00:21:49.882391,23.5
2020-04-28 00:22:51.642454,23.5
2020-04-28 00:23:54.284748,23.5
2020-04-28 00:24:56.121647,23.5
2020-04-28 00:25:57.882377,23.5
2020-04-28 00:26:59.642476,23.437
2020-04-28 00:28:01.401644,23.437
2020-04-28 00:29:04.922421,23.437
2020-04-28 00:30:06.687077,23.437
2020-04-28 00:31:08.442455,23.437
2020-04-28 00:32:10.287325,23.437
2020-04-28 00:33:12.041651,23.437
2020-04-28 00:34:13.882470,23.437
2020-04-28 00:35:15.722425,23.437
2020-04-28 00:36:17.481649,23.437
2020-04-28 00:37:19.325116,23.437
2020-04-28 00:38:21.165025,23.437
2020-04-28 00:39:23.886419,23.437
2020-04-28 00:40:25.722468,23.437
2020-04-28 00:41:28.448873,23.437
2020-04-28 00:42:30.325234,23.437
2020-04-28 00:43:33.961639,23.437
2020-04-28 00:44:36.601651,23.437
2020-04-28 00:45:38.442408,23.437
2020-04-28 00:46:41.242404,23.437
2020-04-28 00:47:43.082463,23.437
2020-04-28 00:48:44.922406,23.375
2020-04-28 00:49:46.682459,23.375
2020-04-28 00:50:48.442491,23.375
2020-04-28 00:51:50.366453,23.375
2020-04-28 00:52:52.202488,23.375
2020-04-28 00:53:54.922459,23.375
2020-04-28 00:54:57.642423,23.375
2020-04-28 01:14:12.842355,23.312,23.375
2020-04-28 01:15:14.841883,23.312,23.375
2020-04-28 01:16:16.761863,23.312,23.375
2020-04-28 01:17:18.681822,23.312,23.375
2020-04-28 01:18:20.602502,23.312,23.375
2020-04-28 01:19:23.321863,23.312,23.375
2020-04-28 01:20:26.041842,23.312,23.375
2020-04-28 01:21:28.761865,23.312,23.375
2020-04-28 01:22:30.683119,23.312,23.375
2020-04-28 01:23:32.619950,23.312,23.375
2020-04-28 01:24:34.549238,23.312,23.375
2020-04-28 01:25:36.677743,23.312,23.375
2020-04-28 01:26:38.788146,23.312,23.375
2020-04-28 01:27:40.878223,23.25,23.375
2020-04-28 01:28:43.439572,23.25,23.375
2020-04-28 01:29:45.424241,23.25,23.375
2020-04-28 01:30:47.402695,23.25,23.375
2020-04-28 01:31:49.321855,23.25,23.375
2020-04-28 01:32:51.162303,23.25,23.375
2020-04-28 01:33:53.961874,23.25,23.375
2020-04-28 01:34:55.883287,23.25,23.375
2020-04-28 01:35:57.801837,23.25,23.375
2020-04-28 01:37:00.521830,23.25,23.375
2020-04-28 01:38:02.377683,23.25,23.375
2020-04-28 01:39:04.283284,23.25,23.375
2020-04-28 01:40:06.201807,23.25,23.375
2020-04-28 01:41:08.041849,23.25,23.375
2020-04-28 01:42:09.961835,23.25,23.375
2020-04-28 01:43:11.882481,23.25,23.375
2020-04-28 01:44:13.909278,23.25,23.375
2020-04-28 01:45:16.101630,23.25,23.375
2020-04-28 01:46:18.059250,23.187,23.375
2020-04-28 01:47:19.882594,23.187,23.375
2020-04-28 01:48:21.722617,23.25,23.375
2020-04-28 01:49:24.444801,23.25,23.375
2020-04-28 01:50:26.282639,23.187,23.375
2020-04-28 01:51:28.122624,23.187,23.375
2020-04-28 01:52:29.962565,23.187,23.375
2020-04-28 01:53:31.802647,23.187,23.375
2020-04-28 01:54:33.642673,23.187,23.375
2020-04-28 01:55:36.361830,23.187,23.375
2020-04-28 01:56:39.162609,23.187,23.375
2020-04-28 01:57:41.002619,23.187,23.375
2020-04-28 01:58:42.842576,23.187,23.375
2020-04-28 01:59:44.682624,23.187,23.375
2020-04-28 02:00:46.522670,23.187,23.375
2020-04-28 02:01:49.249643,23.187,23.375
2020-04-28 02:02:51.084891,23.187,23.375
2020-04-28 02:03:52.922655,23.187,23.375
2020-04-28 02:04:54.682615,23.187,23.375
2020-04-28 02:05:56.526002,23.187,23.375
2020-04-28 02:06:58.362633,23.187,23.375
2020-04-28 02:08:00.202594,23.187,23.375
2020-04-28 02:09:02.042749,23.125,23.375
2020-04-28 02:10:03.882644,23.125,23.375
2020-04-28 02:11:05.722640,23.125,23.375
2020-04-28 02:12:07.562656,23.125,23.375
2020-04-28 02:13:09.402691,23.062,23.375
2020-04-28 02:14:11.242721,23.062,23.375
2020-04-28 02:15:13.082700,23.062,23.375
2020-04-28 02:16:14.922692,23.062,23.375
2020-04-28 02:17:17.642648,23.062,23.375
2020-04-28 02:18:19.482630,23.062,23.375
2020-04-28 02:19:21.324662,23.062,23.375
2020-04-28 02:20:24.042689,23.062,23.375
2020-04-28 02:21:25.882613,23.0,23.375
2020-04-28 02:22:27.722735,23.0,23.375
2020-04-28 02:23:30.442673,23.0,23.375
2020-04-28 02:24:33.162705,23.0,23.375
2020-04-28 02:25:35.002614,23.0,23.375
2020-04-28 02:26:36.841781,23.0,23.375
2020-04-28 02:27:40.442609,23.0,23.375
2020-04-28 02:28:42.284113,23.0,23.375
2020-04-28 02:29:44.045086,22.937,23.375
2020-04-28 02:30:45.884973,22.937,23.375
2020-04-28 02:31:47.722626,22.937,23.375
2020-04-28 02:32:49.568371,22.937,23.375
2020-04-28 02:33:51.402638,22.937,23.375
2020-04-28 02:34:53.242609,22.937,23.375
2020-04-28 02:35:55.962616,22.937,23.375
2020-04-28 02:36:57.802628,22.875,23.375
2020-04-28 02:37:59.642640,22.875,23.375
2020-04-28 02:39:02.364818,22.875,23.375
2020-04-28 02:40:04.202647,22.875,23.375
2020-04-28 02:41:06.042680,22.875,23.375
2020-04-28 02:42:07.882582,22.875,23.375
2020-04-28 02:43:09.722669,22.875,23.375
2020-04-28 02:44:11.562657,22.875,23.375
2020-04-28 02:45:13.402637,22.875,23.375
2020-04-28 02:46:16.122632,22.875,23.375
2020-04-28 02:47:17.962679,22.875,23.375
2020-04-28 02:48:19.804776,22.875,23.375
2020-04-28 02:49:21.642636,22.875,23.375
2020-04-28 02:50:23.482610,22.875,23.375
2020-04-28 02:51:25.327739,22.812,23.375
2020-04-28 02:52:27.165013,22.812,23.375
2020-04-28 02:53:29.002638,22.812,23.375
2020-04-28 02:54:30.842625,22.812,23.375
2020-04-28 02:55:32.682669,22.812,23.375
2020-04-28 02:56:34.522647,22.75,23.375
2020-04-28 02:57:37.162983,22.75,23.375
2020-04-28 02:58:39.002619,22.75,23.375
2020-04-28 02:59:40.842619,22.75,23.375
2020-04-28 03:00:42.682603,22.75,23.375
2020-04-28 03:01:44.522621,22.75,23.375
2020-04-28 03:02:46.362572,22.687,23.375
2020-04-28 03:03:48.204972,22.687,23.375
2020-04-28 03:04:50.042594,22.687,23.375
